"WRITE";"-32768";"";"1957767";"11.653375 ms"
"WRITE";"-32768";"";"1957794";"11.653536 ms"
"WRITE";"-32768";"";"1957821";"11.653696 ms"
"WRITE";"-32768";"";"1962750";"?"
"WRITE";"-32768";"";"1962750";"11.683036 ms"
"WRITE";"-32768";"";"2129816";"12.677476 ms"
"WRITE";"-32768";"";"2129843";"12.677637 ms"
"WRITE";"-32768";"";"2129870";"12.677798 ms"
"WRITE";"-32768";"";"2134778";"?"
"WRITE";"-32768";"";"2134778";"12.707012 ms"
"WRITE";"-32768";"";"2304724";"13.718595 ms"
"WRITE";"-32768";"";"2304751";"13.718756 ms"
"WRITE";"-32768";"";"2304778";"13.718917 ms"
"WRITE";"-32768";"";"2309746";"?"
"WRITE";"-28338";"";"2309746";"13.748488 ms"
"WRITE";"-27768";"";"2476918";"14.743560 ms"
"WRITE";"-27197";"";"2476945";"14.743720 ms"
"WRITE";"-26627";"";"2476972";"14.743881 ms"
"WRITE";"-26119";"";"2481942";"?"
"WRITE";"-10714";"";"2481942";"14.773464 ms"
"WRITE";"-10524";"";"2648785";"15.766577 ms"
"WRITE";"-10334";"";"2648812";"15.766738 ms"
"WRITE";"-10144";"";"2648839";"15.766899 ms"
"WRITE";"-9954";"";"2653802";"?"
"WRITE";"-4184";"";"2653802";"15.796440 ms"
"WRITE";"-4121";"";"2820948";"16.791357 ms"
"WRITE";"-4058";"";"2820975";"16.791518 ms"
"WRITE";"-3994";"";"2821002";"16.791679 ms"
"WRITE";"-3931";"";"2825914";"?"
"WRITE";"-1522";"";"2825914";"16.820917 ms"
"WRITE";"-1522";"";"2992849";"17.814577 ms"
"WRITE";"-1522";"";"2992876";"17.814738 ms"
"WRITE";"-1522";"";"2992903";"17.814899 ms"
"WRITE";"-1522";"";"2997858";"?"
"WRITE";"-1522";"";"2997858";"17.844393 ms"
"WRITE";"-1522";"";"3165010";"18.839345 ms"
"WRITE";"-1522";"";"3165037";"18.839506 ms"
"WRITE";"-1522";"";"3165064";"18.839667 ms"
"WRITE";"-1522";"";"3170054";"?"
"WRITE";"32767";"";"3170054";"18.869369 ms"
"WRITE";"32767";"";"3336911";"19.862565 ms"
"WRITE";"32767";"";"3336938";"19.862726 ms"
"WRITE";"32767";"";"3336965";"19.862887 ms"
"WRITE";"32767";"";"3341914";"?"
"WRITE";"32767";"";"3341914";"19.892345 ms"
"WRITE";"32767";"";"3509072";"20.887333 ms"
"WRITE";"32767";"";"3509099";"20.887494 ms"
"WRITE";"32767";"";"3509126";"20.887655 ms"
"WRITE";"32767";"";"3514110";"?"
"WRITE";"32767";"";"3514110";"20.917321 ms"
"WRITE";"32767";"";"3680941";"21.910363 ms"
"WRITE";"32767";"";"3680968";"21.910524 ms"
"WRITE";"32767";"";"3680995";"21.910685 ms"
"WRITE";"32767";"";"3685970";"?"
"WRITE";"22822";"";"3685970";"21.940298 ms"
